path,original_path,filename,extension,size_bytes,sha256,content_type,title,author,year,language,domain,document_role,confidence,review_status,status,notes
career/job-search/reject_offer.webp,Mail/reject_offer.webp,reject_offer.webp,webp,70918,7cd73d8e84a885d7727e52cce702402b2224712e3949a0c6d247e718da4e19a0,reference,Email template — Declining a job offer (Vietnamese),,,,career/job-search,reference-material,HIGH,,MIGRATED,Vietnamese template 'MAIL TỪ CHỐI OFFER'. Matches filename.
career/job-search/email-template-offer-acceptance-start-date.webp,Mail/start.webp,email-template-offer-acceptance-start-date.webp,webp,80500,2275099c917695e186639222f641cd374f53562fcc36b2ee94dfba64327531a3,reference,Email template — Accepting job offer and confirming start date (Vietnamese),,,,career/job-search,reference-material,HIGH,,MIGRATED,Vietnamese template 'MAIL ĐỒNG Ý NHẬN OFFER'. Filename 'start.webp' is generic/ambiguous on its own; content confirms offer-acceptance/start-date stage.
databases/SQL_Cheatsheet_AbzAaron.jpg,Database/DBRelationshipsSQL.jpg,SQL_Cheatsheet_AbzAaron.jpg,jpg,241450,7d4f4b2fa090f08d7b80403415de6b84aa967f7b1f36afe5b3922180f2cdd34b,diagram,SQL Cheatsheet,AbzAaron,,,databases,reference-material,HIGH,,MIGRATED,CONTENT MISMATCH: filename says DB relationships/ERD but it's actually a general SQL syntax cheatsheet infographic.
databases/Database Indexing & Những Điều Developer Cần Biết.pdf,Database/Database Indexing & Những Điều Developer Cần Biết.pdf,Database Indexing & Những Điều Developer Cần Biết.pdf,pdf,1071191,d36846b754eb367343fb238e635105feed95b8e70e3181535a23c39f29a00b83,book,Database Indexing & Những Điều Developer Cần Biết,"Huy (self-identified; ~10y exp at ViettelPost, Giaohangtietkiem, CBTW)",,vi,databases,reference-material,HIGH,,MIGRATED,Self-published practitioner ebook.
databases/phan_quyen_script.sql,Database/phan_quyen_script.sql,phan_quyen_script.sql,sql,1036528,3bcc76207f6071511621ce84e89a1659102fc08f7e2685fd3879fb5fec89c4d4,script,Vifon_Portal Authorization Schema & Seed Data Script,,2026,,databases,code,HIGH,NEEDS_REVIEW,MIGRATED,SSMS-generated script for a real app's ('Vifon') RBAC schema + ~9600 lines of production seed data (Vietnamese menu labels). Potentially contains internal/business data — review before including in general knowledge repo.
devops/version-control/Git version control.pdf,Git/Git version control.pdf,Git version control.pdf,pdf,2604271,cd647a0f515959d48ce2332045e45632a11c5217f28841fac4195f7f2bf068b7,technical-report,Git version control,,,,devops/version-control,reference-material,MEDIUM,,MIGRATED,No title page/author/publisher; compiled tutorial/course notes.
"networking/101 Labs - Cisco CCNA Hands-on Practical Labs for the 200-301 - Implementing and Administering Cisco Solutions Exam (Paul Browning, Farai Tafa).pdf","Network/101 Labs - Cisco CCNA Hands-on Practical Labs for the 200-301 - Implementing and Administering Cisco Solutions Exam (Paul Browning, Farai Tafa).pdf","101 Labs - Cisco CCNA Hands-on Practical Labs for the 200-301 - Implementing and Administering Cisco Solutions Exam (Paul Browning, Farai Tafa).pdf",pdf,4670705,36630349f85fa4eada1490d32ef4437bd463d71d67590bb1f69a65c0711b8c79,book,101 Labs - Cisco CCNA Hands-on Practical Labs for the 200-301: Implementing and Administering Cisco Solutions Exam,"Paul Browning, Farai Tafa",2020,,networking,source-material,HIGH,,MIGRATED,Filename fully matches verified content.
data-engineering/etl/Essential Pentaho ETL - A self-study reference and practice book for ETL beginners (Aryan Kavan Gowda).pdf,"Pentaho/Essential Pentaho ETL A self-study reference and practice book for ETL beginners (Gowda, Aryan Kavan  Gowda, Aryan Kavan) .pdf",Essential Pentaho ETL - A self-study reference and practice book for ETL beginners (Aryan Kavan Gowda).pdf,pdf,4355882,0e91fbdf2ae3586697157e29bcf31fe26666c277b3a040bc71f6cf2e92019bb2,book,Essential Pentaho ETL: A self-study reference and practice book for ETL beginners,Aryan Kavan Gowda,,,data-engineering/etl,source-material,MEDIUM,,MIGRATED,Filename has duplicated-author artifact.
data-engineering/etl/Learning Pentaho Data Integration 8 CE - Third Edition (Maria Carina Roldan).pdf,Pentaho/Learning Pentaho Data Integration 8 CE - Third Edition (Maria Carina Roldan) .pdf,Learning Pentaho Data Integration 8 CE - Third Edition (Maria Carina Roldan).pdf,pdf,10097562,a9a7152e9eecca95e9db89cf0aa8c7a57ca57ef2f39369a634f788f680fb3ed5,book,Learning Pentaho Data Integration 8 CE - Third Edition,María Carina Roldán,2017,,data-engineering/etl,source-material,HIGH,,MIGRATED,Trailing space in filename before extension.
devops/DevOpsProjects.docx,DevOps/DevOpsProjects.docx,DevOpsProjects.docx,docx,682019,6ac94176d08fe3e659aaa1a6733436282ee4d5f89b7565d03399eefd2b3e5577,project-artifact,DevOps Projects,PC,2025,unknown,devops/project-artifact,project-artifact,LOW,NEEDS_REVIEW,MIGRATED,"document.xml has almost no extractable paragraph text; package contains 6 embedded JPEGs (screenshots), core props creator 'PC', created 2025-03-25. Cannot determine real subject without viewing images."
devops/security/DevSecOps.pptx,DevOps/DevSecOps.pptx,DevSecOps.pptx,pptx,16021840,6da1bf3891d6008cb1071dfdfb5af6e2cb6afd7f329bad680be55c5473c3da65,slide-deck,DevSecOps,Nham Cung Dinh (DinhNC),2020,en,devops/security,reference-material,HIGH,,MIGRATED,"181 slides, created 2020-07-10 by Nham Cung Dinh. Training/presentation deck on DevOps->DevSecOps->CI/CD."
devops/kubernetes/K8s admin play book.pdf,DevOps/K8s admin play book.pdf,K8s admin play book.pdf,pdf,749776,15d40bca5870b63bc5762b5def13c29be12549d0e28fdf27c5aa368b0af86cf9,tutorial,The Kubernetes Admin Playbook: From Pods to Production,DevOps Shack,,en,devops/kubernetes,reference-material,HIGH,,MIGRATED,Structured 10-chapter playbook branded 'DevOps Shack'.
devops/kubernetes/K8s notes.pdf,DevOps/K8s notes.pdf,K8s notes.pdf,pdf,799068,ad67491286ef58125240c85f233a73946c09fda8c89ad57b974dd7e7b3f60ed3,personal-notes,K8s Architecture,Shiva B,2023,en,devops/kubernetes,personal-notes,HIGH,,MIGRATED,"Informal study notes dated 2023-11-25, attributed to 'Shiva B'."
devops/kubernetes/Kubernetes From Scratch.pdf,DevOps/Kubernetes From Scratch.pdf,Kubernetes From Scratch.pdf,pdf,2811838,5cce78cffc6b87b7aa2f602c933700885bda1f4c3f8a08e1e275575af19b2ba4,tutorial,Kubernetes From Scratch,,,en,devops/kubernetes,reference-material,HIGH,,MIGRATED,"Foundational tutorial, no visible author/date."
devops/project-management/Bai_1_Gioi_thieu_ve_DevOps.pdf,DevOps/ML_Ops_Basic.pdf,Bai_1_Gioi_thieu_ve_DevOps.pdf,pdf,2328666,9837d42b9ccc160ecf705225b7fc99f55fd54b66b5ba7a3d69083d70539cbaf0,tutorial,Bài 1: Giới thiệu về DevOps (Lesson 1: Introduction to DevOps),Trần Hoàng Sơn,2025,vi,devops/project-management,source-material,MEDIUM,,MIGRATED,"MISMATCH: filename says 'ML Ops Basic' but content is a Vietnamese DevOps-101 lesson (not MLOps), dated 2025-12-10, converted from markdown by Trần Hoàng Sơn. Likely misnamed or lesson 1 of a broader series."
devops/observability/Observability with Datadog - Q&A_Follow_up.pdf,DevOps/Observability with Datadog - Q&A_Follow_up.pdf,Observability with Datadog - Q&A_Follow_up.pdf,pdf,5243130,8db99302359fb33b7bd0f87ba5732e42626e0a19c7ba69150c37d35c05f5d8ab,reference,Observability with Datadog - Q&A Follow Up,DevOps VietNam / Datadog,,vi,devops/observability,reference-material,HIGH,,MIGRATED,Vietnamese Q&A from a 'DevOps VietNam' community event with Datadog.
devops/project-management/Software_Project_Management_Fifth_Edition.pdf,DevOps/Software_Proiect_Management_F_fth_Editio.pdf,Software_Project_Management_Fifth_Edition.pdf,pdf,30619321,590269f8a847a1aaaaa240d6aaae11258a72b830524c6ca89b4a5076dc57c04d,book,"Software Project Management, Fifth Edition",Bob Hughes and Mike Cotterell,,en,devops/project-management,source-material,HIGH,,MIGRATED,"Filename has OCR-typo corruption ('Proiect', 'F_fth_Editio'). Well-known published textbook."
devops/terraform/TERRAFORM.pdf,DevOps/TERRAFORM.pdf,TERRAFORM.pdf,pdf,1585860,41b0315a5f2131ead316f15a4b1cd59a7ca6995386ef6425cf4000fe63e8d42b,tutorial,Terraform,,,en,devops/terraform,reference-material,HIGH,,MIGRATED,Introductory Terraform tutorial/course notes.
devops/terraform/Terraform Deployment.pdf,DevOps/Terraform Deployment.pdf,Terraform Deployment.pdf,pdf,725568,e5b49e865a52a890ba39ec86922d06c671e6b0b87d26c8d21fe09eaf5c2d74d5,project-artifact,Terraform Deployment: Deploying Highly Available Infrastructure for EKS Using Terraform,Viraj Ariyasinghe,2025,en,devops/terraform,project-artifact,HIGH,,MIGRATED,Detailed personal project writeup/case study (dated 2025).
career/interview-prep/100-cau-hoi-phong-van-kinh-dien.pdf,Interview/100 CÂU HỎI PHỎNG VẤN KINH ĐIỂN.pdf,100-cau-hoi-phong-van-kinh-dien.pdf,pdf,4332969,fa16aaea815d351e13622440847d796f1ce2b234f9ce1867f45da156a4686563,interview-material,100 Câu Hỏi Phỏng Vấn & Cách Trả Lời Của Các Tập Đoàn Hàng Đầu Thế Giới,Thuận Võ (Eric) / TTGlobal Group,,vi,interview-prep/general,reference-material,HIGH,,MIGRATED,Diacritics cause mojibake in non-UTF8 tools (needed 8.3 short name to open in bash) — hurts stable referencing.
career/interview-prep/Bo_Cau_Hoi_Phong_Van_NestJS_Intern_Fresher_1.pdf,Interview/Bo_Cau_Hoi_Phong_Van_NestJS_Intern_Fresher_1.pdf,Bo_Cau_Hoi_Phong_Van_NestJS_Intern_Fresher_1.pdf,pdf,43277,1d6b7715515fba896d5e6775d97dcf895866a2469482c5bc5366a1f873079f65,interview-material,Bộ Câu Hỏi Phỏng Vấn NestJS (Intern / Fresher),,,vi,interview-prep/nestjs,reference-material,HIGH,,MIGRATED,
software-engineering/courseware-pre-pro-be.xlsx,Interview/Courseware Pre-Pro BE .xlsx,courseware-pre-pro-be.xlsx,xlsx,61665,2d2e28b39a7e714af83d4d8d8bfcb300428b5cbad83c01a7bd72692acdf077d0,course-material,Course Schedule - Java Backend Pre-Pro Training,,,vi,course-material/backend-training,source-material,HIGH,,MIGRATED,"Multi-week Java/Spring/Microservices/Docker/Kafka training curriculum spreadsheet, NOT an interview question bank. Sheets: Training Schedule, JAVA CORE, SQL, SPRING, MICROSERVICE."
career/interview-prep/cau-hoi-kho-lap-trinh-vien.docx,Interview/CÂU HỎI KHÓ.docx,cau-hoi-kho-lap-trinh-vien.docx,docx,22236,82af68c39fea893b35b22d4a27a561c9d5154f879eb59e26a64ed475e315484c,interview-material,Vượt Ải Những Câu Hỏi Mà 90% Lập Trình Viên Thường Gặp Khi Đi Phỏng Vấn,,,vi,interview-prep/software-development,reference-material,HIGH,,MIGRATED,Real title differs from filename ('Difficult Questions'). Diacritics hurt referencing.
career/interview-prep/Javascript question.pdf,Interview/Javascript question.pdf,Javascript question.pdf,pdf,659960,fb85de7e9dd1358dcbf622b54a4b54843ce1a72c61477ffe5dec72eae6650cc1,interview-material,Javascript question (inferred from filename only),,,,interview-prep/javascript,reference-material,LOW,NEEDS_REVIEW,MIGRATED,"Image-based/scanned PDF, zero extractable text — content unverified, needs OCR/manual review before reclassifying."
career/professional-skills/present-past-spark-method-introducing-yourself.pdf,Interview/The Present-Past-Spark Method_ A Simple Guide to Introducing Yourself.pdf,present-past-spark-method-introducing-yourself.pdf,pdf,68401,07c7eb552e984a52a4cd4c878107ff472e456b7be00d92c06ee1550fd4cb0b04,documentation,The Present-Past-Spark Method: A Simple Guide to Introducing Yourself,,,en,career-development,reference-material,HIGH,,MIGRATED,"General communication-skills guide, broader than interview-only use."
artificial-intelligence/agents/SoICT-HUST_NgoVanLinh_Advances-in-Memory-Architectures-for-LLM-Agents_2025.pdf,LLM/Agent_Memory_Full.pdf,SoICT-HUST_NgoVanLinh_Advances-in-Memory-Architectures-for-LLM-Agents_2025.pdf,pdf,2145881,cca816a244e0514dcd7da0a374fdae544ce465f30a4149bc8c9811f7d8a97b0a,slide-deck,Advances in Memory Architectures for Conversational History in LLM Agents,"Ngo Van Linh, SoICT - Hanoi University of Science and Technology (HUST)",2025,Vietnamese (with English technical terms/citations),artificial-intelligence/agents,reference-material,HIGH,,MIGRATED,"97-slide seminar deck by Ngo Van Linh (SoICT-HUST), a literature-review synthesis citing ~16 recent arXiv agent-memory papers, not itself an arXiv paper. Filename generic."
artificial-intelligence/llm/Fine-Tuning LLMs.pdf,LLM/Fine-Tuning LLMs.pdf,Fine-Tuning LLMs.pdf,pdf,15940052,f0fcef27b1358c51ac7daafd26ddb7b459d644ada7b7adb197dbaadf369c04ca,survey,The Ultimate Guide to Fine-Tuning LLMs from Basics to Breakthroughs (v1.1),"Venkatesh Balavadhani Parthasarathy, Ahtsham Zafar, Aafaq Khan, Arsalan Shahid (CeADAR, UCD)",2024,English,artificial-intelligence/llm,source-material,HIGH,,MIGRATED,"Confirmed arXiv technical report/survey (~116 pages), v1.1, Oct 2024. Filename generic but accurate."
